Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DD,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2014-04-15,16.433027267456055,91.50910186767578,76.15049743652344,106.80907440185547,80.33367919921875,55.22999954223633,17.542509078979492,83.54222106933594,71.47176361083984,54.5443115234375,133.93780517578125,62.66836929321289,73.47840118408203,132.20883178710938,21.123422622680664,78.92176055908203,43.23721694946289,30.629796981811523,80.29061126708984,104.42244720458984,40.98560333251953,34.11763381958008,32.99270248413086,63.08713912963867,70.52308654785156,69.73152160644531,48.1406364440918,31.79077911376953,51.9951171875,63.73204803466797
2014-04-16,16.466333389282227,91.93878936767578,77.35418701171875,108.33036804199219,81.14567565917969,55.97999954223633,17.64981460571289,84.60472869873047,72.65896606445312,55.61064529418945,135.9263153076172,63.238155364990234,74.75234985351562,131.79283142089844,21.24967384338379,78.56375885009766,43.60018539428711,30.942344665527344,80.29061126708984,106.50951385498047,41.13917541503906,34.67552947998047,33.367008209228516,63.71928024291992,71.25383758544922,68.57386779785156,49.39339065551758,31.912736892700195,52.11328125,64.01392364501953
2014-04-17,16.654476165771484,91.8751220703125,76.30980682373047,109.94619750976562,81.06681823730469,56.099998474121094,17.787755966186523,85.88948059082031,73.61609649658203,55.862918853759766,136.11648559570312,63.65931701660156,74.59209442138672,127.50479888916016,21.336471557617188,78.73081970214844,43.568607330322266,31.04145622253418,79.82877349853516,107.25711822509766,41.292728424072266,34.34079360961914,33.791507720947266,63.80512619018555,71.17173767089844,66.46026611328125,49.06074142456055,32.25151824951172,52.5780143737793,64.37864685058594
2014-04-21,16.852134704589844,93.11647033691406,76.70809173583984,109.86026763916016,80.91703796386719,56.11000061035156,17.933374404907227,86.27835083007812,72.80622863769531,55.89729309082031,136.42776489257812,64.37773132324219,74.65618896484375,129.02139282226562,21.265453338623047,79.55823516845703,43.4187126159668,31.06432342529297,79.3669204711914,107.9501724243164,41.863094329833984,34.28071212768555,33.7321662902832,63.64902114868164,70.94183349609375,65.73234558105469,49.3391227722168,32.50897979736328,52.089637756347656,64.32891845703125
2014-04-22,16.868938446044922,94.93071746826172,77.06209564208984,109.6281967163086,81.74482727050781,57.08000183105469,18.025339126586914,86.11170196533203,73.1191177368164,56.11516571044922,138.72750854492188,65.78980255126953,74.78439331054688,128.9408416748047,21.17865562438965,79.7014389038086,44.03412628173828,31.0338191986084,79.08821868896484,108.16043090820312,42.24333190917969,34.32362365722656,33.93758773803711,63.4071044921875,71.34420013427734,66.44274139404297,49.53730010986328,32.46833038330078,53.07424545288086,64.29576110839844
2014-04-23,16.64844512939453,90.17224884033203,77.1152114868164,112.27542114257812,81.50043487548828,55.63999938964844,18.010007858276367,86.59086608886719,73.18354797363281,56.60820770263672,138.71884155273438,64.8401870727539,75.33722686767578,128.6590118408203,21.107643127441406,79.73326110839844,44.22349166870117,31.049074172973633,78.9369125366211,107.4595947265625,42.04590606689453,34.06612014770508,33.82346725463867,63.213600158691406,72.36231231689453,66.06562042236328,49.26600646972656,32.136329650878906,53.0821418762207,64.69367980957031
2014-04-24,18.01331329345703,90.49054718017578,77.36302947998047,111.61361694335938,82.9983139038086,54.72999954223633,17.879722595214844,86.3200454711914,73.24796295166016,56.459136962890625,139.06466674804688,65.87239837646484,75.0167465209961,127.64579772949219,21.107643127441406,79.52639770507812,44.33394241333008,31.026208877563477,79.50227355957031,106.41605377197266,42.06783676147461,34.2120475769043,33.49937438964844,63.83503341674805,72.739990234375,67.170654296875,49.40283203125,31.35715675354004,53.10575485229492,64.91751098632812
2014-04-25,18.145620346069336,88.65243530273438,77.02669525146484,110.58221435546875,82.53321075439453,52.79999923706055,17.626811981201172,86.10475158691406,71.996337890625,55.61064529418945,136.80813598632812,65.55034637451172,74.23155975341797,127.24986267089844,20.720991134643555,79.39115905761719,43.94733810424805,31.262514114379883,80.21098327636719,106.34598541259766,41.855777740478516,34.25496292114258,33.18442916870117,64.03958129882812,72.51009368896484,66.35503387451172,46.93267059326172,31.126781463623047,52.49923324584961,65.17448425292969
2014-04-28,18.848358154296875,88.70813751220703,77.05325317382812,109.18985748291016,82.19417572021484,49.130001068115234,17.642147064208984,87.3130874633789,71.58219909667969,54.22325134277344,135.3384246826172,66.20272064208984,74.07933044433594,129.6051788330078,20.77622413635254,80.62430572509766,43.78164291381836,31.277769088745117,79.87655639648438,106.86772155761719,41.446292877197266,35.07893371582031,32.714263916015625,65.24309539794922,73.6021499633789,66.42520141601562,47.52013397216797,31.573957443237305,53.12936019897461,66.11954498291016
2014-04-29,18.792518615722656,89.04230499267578,77.69934844970703,110.33296966552734,83.0140609741211,50.7599983215332,17.749439239501953,87.47974395751953,72.37367248535156,55.83998107910156,136.80813598632812,65.66593933105469,74.08734893798828,130.92715454101562,20.894588470458984,80.37767791748047,44.26293182373047,30.92710304260254,80.82414245605469,107.11695098876953,42.93800354003906,34.76993942260742,33.084007263183594,64.84976959228516,74.63672637939453,65.95159912109375,47.8150520324707,31.689146041870117,53.02698516845703,66.04490661621094
